product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
10,1,2025-08-13,16,3,4.5,17:21:00
10,1,2025-08-13,26,2,4.5,13:49:00
10,1,2025-08-13,22,1,4.5,13:42:00
10,1,2025-08-13,13,5,4.5,18:41:00
10,1,2025-08-13,20,4,4.5,17:14:00
10,1,2025-08-13,10,4,4.5,12:17:00
10,1,2025-08-13,25,2,4.5,11:11:00
10,1,2025-08-13,18,2,4.5,11:27:00
10,1,2025-08-13,2,4,4.5,16:47:00
10,1,2025-08-13,12,5,4.5,18:52:00
10,1,2025-08-13,15,1,4.5,17:28:00
10,1,2025-08-13,16,4,4.5,9:23:00
10,1,2025-08-13,7,3,4.5,8:54:00
10,1,2025-08-13,13,5,4.5,18:54:00
10,1,2025-08-13,24,6,4.5,17:21:00
10,1,2025-08-13,8,1,4.5,18:16:00
10,1,2025-08-13,7,2,4.5,18:27:00
10,1,2025-08-13,13,6,4.5,17:54:00
10,1,2025-08-13,7,3,4.5,17:56:00
10,1,2025-08-13,26,2,4.5,11:01:00
10,1,2025-08-13,22,6,4.5,12:51:00
10,1,2025-08-13,16,2,4.5,10:21:00
10,1,2025-08-13,17,3,4.5,12:37:00
10,1,2025-08-13,5,4,4.5,18:53:00
10,1,2025-08-13,16,2,4.5,18:39:00
10,1,2025-08-13,20,1,4.5,17:34:00
10,1,2025-08-13,1,5,4.5,17:36:00
10,1,2025-08-13,10,6,4.5,17:53:00
10,1,2025-08-13,22,2,4.5,13:03:00
10,1,2025-08-13,7,1,4.5,10:09:00
10,1,2025-08-13,11,1,4.5,13:44:00
10,1,2025-08-13,1,6,4.5,11:40:00
10,1,2025-08-13,23,3,4.5,18:51:00
10,1,2025-08-13,24,1,4.5,18:15:00
10,1,2025-08-13,26,4,4.5,18:43:00
10,1,2025-08-13,9,1,4.5,13:30:00
10,1,2025-08-13,11,3,4.5,13:54:00
10,1,2025-08-13,23,2,4.5,18:45:00
10,1,2025-08-13,2,1,4.5,18:49:00
11,1,2025-08-13,22,0.65,7.29,10:33:00
11,1,2025-08-13,1,0.88,7.29,10:20:00
11,1,2025-08-13,16,3.08,7.29,10:24:00
11,1,2025-08-13,21,2.61,7.29,12:03:00
11,1,2025-08-13,16,1.52,7.29,11:43:00
11,1,2025-08-13,8,0.06,7.29,17:43:00
11,1,2025-08-13,19,0.23,7.29,18:22:00
11,1,2025-08-13,17,3.61,7.29,18:52:00
20,5,2025-08-13,2,2,10.0,12:56:00
20,5,2025-08-13,26,2,10.0,11:02:00
20,5,2025-08-13,20,2,10.0,11:38:00
20,5,2025-08-13,4,4,10.0,18:56:00
20,5,2025-08-13,14,4,10.0,18:59:00
20,5,2025-08-13,8,4,10.0,10:42:00
20,5,2025-08-13,8,6,10.0,9:33:00
20,5,2025-08-13,6,6,10.0,13:28:00
20,5,2025-08-13,11,6,10.0,13:33:00
20,5,2025-08-13,18,6,10.0,13:33:00
20,5,2025-08-13,19,6,10.0,11:02:00
20,5,2025-08-13,6,6,10.0,18:56:00
20,5,2025-08-13,2,4,10.0,18:36:00
20,5,2025-08-13,12,4,10.0,18:15:00
20,5,2025-08-13,9,4,10.0,17:35:00
20,5,2025-08-13,11,4,10.0,16:33:00
20,5,2025-08-13,24,4,10.0,18:16:00
20,5,2025-08-13,17,6,10.0,8:54:00
20,5,2025-08-13,15,2,10.0,9:52:00
20,5,2025-08-13,13,6,10.0,10:26:00
20,5,2025-08-13,23,2,10.0,12:37:00
20,5,2025-08-13,17,6,10.0,13:13:00
20,5,2025-08-13,14,6,10.0,11:29:00
20,5,2025-08-13,20,6,10.0,18:21:00
20,5,2025-08-13,8,2,10.0,16:58:00
20,5,2025-08-13,14,4,10.0,17:08:00
20,5,2025-08-13,17,2,10.0,16:41:00
19,5,2025-08-13,7,2,0.99,11:41:00
19,5,2025-08-13,12,1,0.99,10:07:00
19,5,2025-08-13,16,3,0.99,10:39:00
19,5,2025-08-13,9,2,0.99,18:35:00
19,5,2025-08-13,10,1,0.99,18:44:00
19,5,2025-08-13,19,4,0.99,17:50:00
